state,population2010,electors2016
California,37254503,55
Texas,25146105,38
Florida,18804623,29
New York,19378087,29
Illinois,12831549,20
Pennsylvania,12702887,20
Ohio,11536725,18
Georgia,9688681,16
North Carolina,9535692,15
Michigan,9884129,16
New Jersey,8791936,14
Virginia,8001045,13
Washington,6724543,12
Arizona,6392307,11
Massachusetts,6547817,11
Indiana,6484229,11
Tennessee,6346275,11
Missouri,5988927,10
Maryland,5773785,10
Wisconsin,5687289,10
Minnesota,5303925,10
Colorado,5029324,9
South Carolina,4625401,9
Alabama,4780127,9
Louisiana,4533479,8
Kentucky,4339349,8
Oregon,3831073,7
Oklahoma,3751616,7
Connecticut,3574118,7
Iowa,3046869,6
Utah,2763888,6
Mississippi,2968103,6
Arkansas,2915958,6
Kansas,2853132,6
Nevada,2700691,6
New Mexico,2059192,5
Nebraska,1826341,5
West Virginia,1853011,5
Idaho,1567652,4
Hawaii,1360301,4
New Hampshire,1316466,4
Maine,1328361,4
Rhode Island,1052931,4
Montana,989417,3
Delaware,897936,3
South Dakota,814191,3
North Dakota,672591,3
Alaska,710249,3
Vermont,625745,3
Wyoming,563767,3
District of Columbia,601767,3
